subset_id,record_set,draw_order,gm_id
19,NF28,3,NF8201262
19,NF28,4,NF8202922
19,NF28,5,NF8201262
19,NF28,6,NF8201811
19,NF28,7,NF8201262
19,NF28,8,NF8201601
19,NF28,9,NF8208211
20,FF22,0,BOL090
20,FF22,1,H-E11140
20,FF22,2,184057
20,FF22,3,PEL090
20,FF22,4,JOS090
20,FF22,5,TAP100-E
20,FF22,6,BOL090
20,FF22,7,LOS270
20,FF22,8,HWA055-W
20,FF22,9,JOS090
20,FFext,0,ARC000
20,FFext,1,PEL180
20,FFext,2,ARC000
20,FFext,3,ABBAR--T
20,FFext,4,ILA027-E
20,FFext,5,ARC000
20,FFext,6,CH12000
20,FFext,7,STM360
20,FFext,8,PEL180
20,FFext,9,ILA027-E
20,NF28,0,NF8201262
20,NF28,1,NF8201601
20,NF28,2,NF8201811
20,NF28,3,NF8201601
20,NF28,4,NF8201262
20,NF28,5,NF8210631
20,NF28,6,NF8201811
20,NF28,7,NF8202922
20,NF28,8,NF8202922
20,NF28,9,NF8208022
21,FF22,0,CHY059-V
21,FF22,1,CHY104-W
21,FF22,2,TAP100-E
21,FF22,3,JOS090
21,FF22,4,BOL090
21,FF22,5,JOS090
21,FF22,6,H-E11140
21,FF22,7,HWA055-W
21,FF22,8,TAP100-E
21,FF22,9,TAP100-E
21,FFext,0,ILA027-N
21,FFext,1,PEL180
21,FFext,2,STM090
21,FFext,3,ILA027-N
21,FFext,4,ARC000
21,FFext,5,H-DLTDWN
21,FFext,6,PEL180
21,FFext,7,CHY059-V
21,FFext,8,H-DLTDWN
21,FFext,9,ILA027-N
21,NF28,0,NF8208252
21,NF28,1,NF8215041
21,NF28,2,NF8208022
21,NF28,3,NF8211652
21,NF28,4,NF8201811
21,NF28,5,NF8202922
21,NF28,6,NF8201811
21,NF28,7,NF8202922
21,NF28,8,NF8210631
21,NF28,9,NF8211652
22,FF22,0,JOS090
22,FF22,1,JOS090
22,FF22,2,PEL090
22,FF22,3,LOS270
22,FF22,4,PEL090
22,FF22,5,JOS090
22,FF22,6,JOS090
22,FF22,7,CHY059-V
22,FF22,8,TAP100-E
22,FF22,9,HWA055-W
22,FFext,0,ILA027-E
22,FFext,1,STM090
22,FFext,2,ARC000
22,FFext,3,STM090
22,FFext,4,CH12000
22,FFext,5,ILA027-N
22,FFext,6,STM360
22,FFext,7,ILA027-E
22,FFext,8,ABBAR--T
22,FFext,9,ABBAR--T
22,NF28,0,NF8201811
22,NF28,1,NF8208252
22,NF28,2,NF8210631
22,NF28,3,NF8202922
22,NF28,4,NF8201601
22,NF28,5,NF8208022
22,NF28,6,NF8208252
22,NF28,7,NF8201601
22,NF28,8,NF8201601
22,NF28,9,NF8201601
23,FF22,0,HWA055-W
23,FF22,1,TAP100-E
23,FF22,2,CHY104-W
23,FF22,3,H-E11140
23,FF22,4,BOL090
23,FF22,5,184057
23,FF22,6,H-E11140
23,FF22,7,H-E11140
23,FF22,8,CHY059-V
23,FF22,9,JOS090
23,FFext,0,H-DLTDWN
23,FFext,1,ABBAR--T
23,FFext,2,ARC000
23,FFext,3,ILA027-N
23,FFext,4,STM090
23,FFext,5,CH12000
23,FFext,6,ILA027-E
23,FFext,7,ILA027-E
23,FFext,8,ABBAR--T
23,FFext,9,CH12000
23,NF28,0,NF8201811
23,NF28,1,NF8202922
23,NF28,2,NF8201262
23,NF28,3,NF8208252
23,NF28,4,NF8208211
23,NF28,5,NF8211652
23,NF28,6,NF8201262
23,NF28,7,NF8208252
23,NF28,8,NF8215041
23,NF28,9,NF8211652
24,FF22,0,PEL090
24,FF22,1,TAP100-E
24,FF22,2,HWA055-W
24,FF22,3,BOL090
24,FF22,4,LOS270
24,FF22,5,LOS270
24,FF22,6,PEL090
24,FF22,7,HWA055-W
24,FF22,8,TAP100-E
24,FF22,9,184057
24,FFext,0,ILA027-E
24,FFext,1,ARC000
24,FFext,2,STM090
24,FFext,3,ILA027-E
24,FFext,4,CHY059-V
24,FFext,5,ABBAR--T
24,FFext,6,CH12000
24,FFext,7,STM360
24,FFext,8,CH12000
24,FFext,9,CHY059-V
24,NF28,0,NF8201262
24,NF28,1,NF8202922
24,NF28,2,NF8208252
24,NF28,3,NF8208211
24,NF28,4,NF8208022
24,NF28,5,NF8201601
24,NF28,6,NF8202922
24,NF28,7,NF8201811
24,NF28,8,NF8211652
24,NF28,9,NF8215041
25,FF22,0,BOL090
25,FF22,1,CHY104-W
25,FF22,2,TAP100-E
25,FF22,3,JOS090
25,FF22,4,184057
25,FF22,5,CHY104-W
25,FF22,6,PEL090
25,FF22,7,CHY059-V
25,FF22,8,LOS270
25,FF22,9,TAP100-E
25,FFext,0,H-DLTDWN
25,FFext,1,PEL180
25,FFext,2,ARC000
25,FFext,3,CHY059-V
25,FFext,4,H-DLTDWN
25,FFext,5,STM360
25,FFext,6,H-DLTDWN
25,FFext,7,ILA027-E
25,FFext,8,CHY059-V
25,FFext,9,H-DLTDWN
25,NF28,0,NF8208022
25,NF28,1,NF8211652
25,NF28,2,NF8202922
25,NF28,3,NF8208211
25,NF28,4,NF8201262
25,NF28,5,NF8201601
25,NF28,6,NF8208211
25,NF28,7,NF8201262
25,NF28,8,NF8208211
25,NF28,9,NF8210631
26,FF22,0,BOL090
26,FF22,1,CHY104-W
26,FF22,2,LOS270
26,FF22,3,184057
26,FF22,4,H-E11140
26,FF22,5,H-E11140
26,FF22,6,TAP100-E
26,FF22,7,LOS270
26,FF22,8,H-E11140
26,FF22,9,PEL090
26,FFext,0,ARC000
26,FFext,1,CH12000
26,FFext,2,CHY059-V
26,FFext,3,ABBAR--T
26,FFext,4,PEL180
26,FFext,5,CHY059-V
26,FFext,6,H-DLTDWN
26,FFext,7,STM090
26,FFext,8,STM090
26,FFext,9,ILA027-E
26,NF28,0,NF8202922
26,NF28,1,NF8208211
26,NF28,2,NF8208252
26,NF28,3,NF8208022
26,NF28,4,NF8208211
26,NF28,5,NF8208211
26,NF28,6,NF8201811
26,NF28,7,NF8211652
26,NF28,8,NF8202922
26,NF28,9,NF8208252
27,FF22,0,TAP100-E
27,FF22,1,CHY059-V
27,FF22,2,H-E11140
27,FF22,3,TAP100-E
27,FF22,4,H-E11140
27,FF22,5,LOS270
27,FF22,6,CHY059-V
27,FF22,7,HWA055-W
27,FF22,8,CHY104-W
27,FF22,9,BOL090
27,FFext,0,CHY059-V
27,FFext,1,STM360
27,FFext,2,STM360
27,FFext,3,ARC000
27,FFext,4,CHY059-V
27,FFext,5,STM360
27,FFext,6,STM090
27,FFext,7,STM360
27,FFext,8,CH12000
27,FFext,9,PEL180
27,NF28,0,NF8201601
27,NF28,1,NF8201811
27,NF28,2,NF8208211
27,NF28,3,NF8202922
27,NF28,4,NF8201601
27,NF28,5,NF8202922
27,NF28,6,NF8201811
27,NF28,7,NF8202922
27,NF28,8,NF8201601
27,NF28,9,NF8201601
28,FF22,0,CHY059-V
28,FF22,1,CHY104-W
28,FF22,2,184057
28,FF22,3,184057
28,FF22,4,HWA055-W
28,FF22,5,CHY104-W
28,FF22,6,JOS090
28,FF22,7,BOL090
28,FF22,8,LOS270
28,FF22,9,JOS090
28,FFext,0,ABBAR--T
28,FFext,1,STM090
28,FFext,2,ABBAR--T
28,FFext,3,STM360
28,FFext,4,CH12000
28,FFext,5,ILA027-N
28,FFext,6,CHY059-V
28,FFext,7,CHY059-V
28,FFext,8,ILA027-N
28,FFext,9,STM360
28,NF28,0,NF8201811
28,NF28,1,NF8211652
28,NF28,2,NF8201601
28,NF28,3,NF8208022
28,NF28,4,NF8215041
28,NF28,5,NF8210631
28,NF28,6,NF8201262
28,NF28,7,NF8211652
28,NF28,8,NF8210631
28,NF28,9,NF8208022
29,FF22,0,LOS270
29,FF22,1,BOL090
29,FF22,2,BOL090
29,FF22,3,LOS270
29,FF22,4,PEL090
29,FF22,5,H-E11140
29,FF22,6,TAP100-E
29,FF22,7,HWA055-W
29,FF22,8,JOS090
29,FF22,9,LOS270
29,FFext,0,H-DLTDWN
29,FFext,1,STM090
29,FFext,2,ABBAR--T
29,FFext,3,ARC000
29,FFext,4,CHY059-V
29,FFext,5,CHY059-V
29,FFext,6,STM090
29,FFext,7,CHY059-V
29,FFext,8,CH12000
29,FFext,9,ABBAR--T
29,NF28,0,NF8208211
29,NF28,1,NF8215041
29,NF28,2,NF8210631
29,NF28,3,NF8210631
29,NF28,4,NF8201811
29,NF28,5,NF8211652
29,NF28,6,NF8201262
29,NF28,7,NF8201262
29,NF28,8,NF8211652
29,NF28,9,NF8201262
30,FF22,0,LOS270
30,FF22,1,JOS090
30,FF22,2,CHY059-V
30,FF22,3,H-E11140
30,FF22,4,CHY104-W
30,FF22,5,H-E11140
30,FF22,6,CHY059-V
30,FF22,7,184057
30,FF22,8,184057
30,FF22,9,TAP100-E
30,FFext,0,H-DLTDWN
30,FFext,1,ILA027-N
30,FFext,2,PEL180
30,FFext,3,ILA027-N
30,FFext,4,ILA027-N
30,FFext,5,ILA027-E
30,FFext,6,PEL180
30,FFext,7,ARC000
30,FFext,8,ILA027-E
30,FFext,9,PEL180
30,NF28,0,NF8211652
30,NF28,1,NF8208211
30,NF28,2,NF8211652
30,NF28,3,NF8201601
30,NF28,4,NF8201262
30,NF28,5,NF8201811
30,NF28,6,NF8208252
30,NF28,7,NF8208022
30,NF28,8,NF8210631
30,NF28,9,NF8210631
31,FF22,0,CHY104-W
31,FF22,1,184057
31,FF22,2,H-E11140
31,FF22,3,JOS090
31,FF22,4,LOS270
31,FF22,5,JOS090
31,FF22,6,H-E11140
31,FF22,7,CHY104-W
31,FF22,8,CHY104-W
31,FF22,9,H-E11140
31,FFext,0,ABBAR--T
31,FFext,1,H-DLTDWN
31,FFext,2,CH12000
31,FFext,3,H-DLTDWN
31,FFext,4,CHY059-V
31,FFext,5,STM090
31,FFext,6,PEL180
31,FFext,7,ILA027-E
31,FFext,8,ILA027-N
31,FFext,9,STM090
31,NF28,0,NF8202922
31,NF28,1,NF8201811
31,NF28,2,NF8210631
31,NF28,3,NF8211652
31,NF28,4,NF8210631
31,NF28,5,NF8208252
31,NF28,6,NF8208252
31,NF28,7,NF8201811
31,NF28,8,NF8201601
31,NF28,9,NF8202922
32,FF22,0,CHY104-W
32,FF22,1,LOS270
32,FF22,2,BOL090
32,FF22,3,H-E11140
32,FF22,4,CHY104-W
32,FF22,5,HWA055-W
32,FF22,6,CHY059-V
32,FF22,7,CHY104-W
32,FF22,8,HWA055-W
32,FF22,9,H-E11140
32,FFext,0,STM090
32,FFext,1,PEL180
32,FFext,2,STM090
32,FFext,3,CHY059-V
32,FFext,4,PEL180
32,FFext,5,ARC000
32,FFext,6,ILA027-E
32,FFext,7,CH12000
32,FFext,8,STM090
32,FFext,9,ILA027-E
32,NF28,0,NF8201811
32,NF28,1,NF8208022
32,NF28,2,NF8208252
32,NF28,3,NF8211652
32,NF28,4,NF8201601
32,NF28,5,NF8215041
32,NF28,6,NF8208252
32,NF28,7,NF8208211
32,NF28,8,NF8210631
32,NF28,9,NF8215041
33,FF22,0,CHY059-V
33,FF22,1,TAP100-E
33,FF22,2,H-E11140
33,FF22,3,H-E11140
33,FF22,4,HWA055-W
33,FF22,5,LOS270
33,FF22,6,H-E11140
33,FF22,7,CHY059-V
33,FF22,8,JOS090
33,FF22,9,JOS090
